ID1 ID2 cost
17 13 1
17 15 1
17 18 1
17 19 1
17 20 1
17 21 1
18 16 0.5
18 19 0.5
18 12 1
18 13 1
18 15 1
18 17 1
18 20 1
18 21 1
19 16 0.5
19 18 0.5
19 20 0.5
19 12 1
19 13 1
19 15 1
19 17 1
19 21 1
20 12 0.5
20 16 0.5
20 19 0.5
20 21 0.5
20 9 1
20 10 1
20 27 1
20 29 1
20 11 1
20 15 1
20 13 1
20 17 1
20 18 1
20 23 1
20 22 1
21 23 0.5
21 29 0.5
21 12 0.5
21 16 0.5
21 20 0.5
21 22 0.5
21 30 1
21 32 1
21 27 1
21 28 1
21 9 1
21 10 1
21 11 1
21 15 1
21 13 1
21 17 1
21 18 1
21 19 1
22 21 0.5
22 23 1
22 29 1
22 12 1
22 16 1
22 20 1
23 29 0.5
23 30 0.5
23 32 0.5
23 21 0.5
23 27 1
23 28 1
23 12 1
23 31 1
23 33 1
23 39 1
23 16 1
23 20 1
23 22 1
24 25 0.5
24 26 0.5
24 27 0.5
24 11 0.5
24 28 1
24 29 1
24 12 1
24 9 1
25 24 0.5
25 26 0.5
25 27 0.5
25 28 0.5
25 11 1
25 29 1
25 12 1
26 24 0.5
26 25 0.5
26 28 0.5
26 27 1
26 11 1
26 29 1
27 24 0.5
27 25 0.5
27 28 0.5
27 29 0.5
27 11 0.5
27 12 0.5
27 26 1
27 23 1
27 30 1
27 21 1
27 9 1
27 10 1
27 15 1
27 16 1
27 20 1
28 25 0.5
28 26 0.5
28 27 0.5
28 29 0.5
28 24 1
28 11 1
28 12 1
28 23 1
28 30 1
28 21 1
29 23 0.5
29 27 0.5
29 28 0.5
29 30 0.5
29 12 0.5
29 21 0.5
29 32 1
29 24 1
29 25 1
29 11 1
29 26 1
29 31 1
29 33 1
29 9 1
29 10 1
29 15 1
29 16 1
29 20 1
29 22 1
30 23 0.5
30 29 0.5
30 31 0.5
30 32 0.5
30 33 0.5
30 21 1
30 27 1
30 28 1
30 12 1
30 39 1
30 40 1
30 34 1
31 30 0.5
31 32 0.5
31 33 0.5
31 23 1
31 29 1
31 39 1
31 40 1
31 34 1
32 39 0.5
32 23 0.5
32 30 0.5
32 31 0.5
32 33 0.5
32 40 1
32 29 1
32 21 1
32 34 1
33 39 0.5
33 40 0.5
33 30 0.5
33 31 0.5
33 32 0.5
33 34 0.5
33 41 1
33 23 1
33 29 1
33 35 1
33 36 1
34 35 0.5
34 36 0.5
34 40 0.5
34 41 0.5
34 33 0.5
34 37 1
34 38 1
34 39 1
34 30 1
34 31 1
34 32 1
35 36 0.5
35 37 0.5
35 38 0.5
35 34 0.5
35 41 1
35 44 1
35 40 1
35 33 1
36 35 0.5
36 37 0.5
36 41 0.5
36 34 0.5
36 38 1
36 40 1
36 33 1
37 35 0.5
37 36 0.5
37 38 0.5
37 41 0.5
37 34 1
37 44 1
37 40 1
38 35 0.5
38 37 0.5
38 44 0.5
38 36 1
38 34 1
38 41 1
38 42 1
38 43 1
38 45 1
38 49 1
39 40 0.5
39 32 0.5
39 33 0.5
39 41 1
39 34 1
39 23 1
39 30 1
39 31 1
40 39 0.5
40 41 0.5
40 33 0.5
40 34 0.5
40 32 1
40 36 1
40 37 1
40 30 1
40 31 1
40 35 1
41 36 0.5
41 37 0.5
41 40 0.5
41 34 0.5
41 35 1
41 38 1
41 39 1
41 33 1
42 43 0.5
42 44 0.5
42 46 0.5
42 49 0.5
42 45 1
42 38 1
42 47 1
42 48 1
42 50 1
42 52 1
43 42 0.5
43 44 0.5
43 46 1
43 49 1
43 45 1
43 38 1
44 42 0.5
44 43 0.5
44 45 0.5
44 49 0.5
44 38 0.5
44 46 1
44 47 1
44 48 1
44 50 1
44 52 1
44 35 1
44 37 1
45 44 0.5
45 49 0.5
45 42 1
45 43 1
45 38 1
45 46 1
45 47 1
45 48 1
45 50 1
45 52 1
46 42 0.5
46 47 0.5
46 49 0.5
46 43 1
46 44 1
46 48 1
46 45 1
46 50 1
46 52 1
47 46 0.5
47 48 0.5
47 49 0.5
47 42 1
47 52 1
47 53 1
47 55 1
47 57 1
47 59 1
47 62 1
47 44 1
47 45 1
47 50 1
48 47 0.5
48 49 0.5
48 52 0.5
48 53 0.5
48 55 0.5
48 57 0.5
48 59 0.5
48 62 0.5
48 46 1
48 42 1
48 44 1
48 45 1
48 50 1
48 51 1
48 54 1
48 56 1
48 58 1
48 60 1
48 61 1
48 63 1
48 64 1
49 42 0.5
49 44 0.5
49 45 0.5
49 46 0.5
49 47 0.5
49 48 0.5
49 50 0.5
49 52 0.5
49 43 1
49 38 1
49 53 1
49 55 1
49 57 1
49 59 1
49 62 1
49 51 1
50 49 0.5
50 51 0.5
50 52 0.5
50 42 1
50 44 1
50 45 1
50 46 1
50 47 1
50 48 1
50 53 1
51 50 0.5
51 52 0.5
51 49 1
51 48 1
51 53 1
52 48 0.5
52 49 0.5
52 50 0.5
52 51 0.5
52 53 0.5
52 47 1
52 55 1
52 57 1
52 59 1
52 62 1
52 42 1
52 44 1
52 45 1
52 46 1
52 54 1
53 48 0.5
53 52 0.5
53 54 0.5
53 55 0.5
53 47 1
53 49 1
53 57 1
53 59 1
53 62 1
53 50 1
53 51 1
53 56 1
54 53 0.5
54 55 0.5
54 56 0.5
54 48 1
54 52 1
54 57 1
55 48 0.5
55 53 0.5
55 54 0.5
55 56 0.5
55 57 0.5
55 47 1
55 49 1
55 52 1
55 59 1
55 62 1
55 58 1
55 60 1
56 54 0.5
56 55 0.5
56 57 0.5
56 53 1
56 48 1
56 58 1
56 59 1
56 60 1
57 48 0.5
57 55 0.5
57 56 0.5
57 58 0.5
57 59 0.5
57 60 0.5
57 47 1
57 49 1
57 52 1
57 53 1
57 62 1
57 54 1
57 61 1
58 57 0.5
58 59 0.5
58 60 0.5
58 61 0.5
58 62 0.5
58 48 1
58 55 1
58 56 1
58 63 1
58 64 1
59 48 0.5
59 57 0.5
59 58 0.5
59 62 0.5
59 47 1
59 49 1
59 52 1
59 53 1
59 55 1
59 56 1
59 60 1
59 61 1
59 63 1
59 64 1
60 57 0.5
60 58 0.5
60 61 0.5
60 48 1
60 55 1
60 56 1
60 59 1
60 62 1
60 63 1
61 58 0.5
61 60 0.5
61 62 0.5
61 63 0.5
61 57 1
61 59 1
61 48 1
61 64 1
62 48 0.5
62 58 0.5
62 59 0.5
62 61 0.5
62 63 0.5
62 64 0.5
62 47 1
62 49 1
62 52 1
62 53 1
62 55 1
62 57 1
62 60 1
63 61 0.5
63 62 0.5
63 58 1
63 60 1
63 48 1
63 59 1
63 64 1
64 62 0.5
64 48 1
64 58 1
64 59 1
64 61 1
64 63 1
65 2 0.5
65 4 0.5
65 5 0.5
65 0 1
65 1 1
65 3 1
65 6 1
65 13 1
65 7 1
65 8 1
65 9 1

